# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 233215, 671656628, 307
TTZToLLNuNu_M-10, 2016, 1, 10279, 2011967, 408
TTZToLLNuNu_M-10, 2016, 1, 10280, 2012286, 302
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 173036, 498343033, 366
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 487296, 1247476823, 324
TTZToQQ, 2016, 1, 1574, 312747, 352
TTZToLLNuNu_M-10, 2016, 1, 28820, 5641361, 343
ttHTobb_M125, 2016, 1, 17405, 3480935, 446
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 2511, 7230900, 346
ttHTobb_M125, 2016, 1, 20618, 4123500, 336
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 215479, 551623722, 337
TTZToQQ, 2016, 1, 2283, 453655, 373
TTZToLLNuNu_M-10, 2016, 1, 4301, 841784, 312
TTZToLLNuNu_M-10, 2016, 1, 4301, 841917, 304
TTWJetsToLNu, 2016, 1, 9857, 3055492, 396
TTZToLLNuNu_M-10, 2016, 1, 17788, 3481911, 598
ttHTobb_M125, 2016, 1, 14889, 2977763, 335
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 31514, 80673380, 341
TTZToLLNuNu_M-10, 2016, 1, 4328, 847143, 319
TTWJetsToLNu, 2016, 1, 14084, 4365899, 347
TTZToLLNuNu_M-10, 2016, 1, 11742, 2298457, 301
TTZToLLNuNu_M-10, 2016, 1, 11744, 2298873, 403
TTZToLLNuNu_M-10, 2016, 1, 4586, 897602, 312
TTWJetsToQQ, 2016, 1, 7840, 1311918, 315
TTWJetsToLNu, 2016, 1, 4565, 1414871, 345
TTZToLLNuNu_M-10, 2016, 1, 11693, 2288833, 325
TTZToLLNuNu_M-10, 2016, 1, 18314, 3584783, 346
TTZToLLNuNu_M-10, 2016, 1, 9980, 1953529, 304
ttHTobb_M125, 2016, 1, 49283, 9856445, 388
TTJets_DiLept_genMET-150, 2016, 1, 74007, 189825587, 415
TTZToLLNuNu_M-10, 2016, 1, 17780, 3480382, 334
TTZToLLNuNu_M-10, 2016, 1, 18126, 3548169, 334
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 413121, 1189785924, 385
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 413121, 1189786571, 335
TTZToLLNuNu_M-10, 2016, 1, 20633, 4038822, 342
ttHTobb_M125, 2016, 1, 49943, 9988586, 322
TTZToLLNuNu_M-10, 2016, 1, 5488, 1074150, 312
TTZToLLNuNu_M-10, 2016, 1, 5547, 1085831, 364
TTWJetsToLNu, 2016, 1, 15155, 4697804, 301
ttHTobb_M125, 2016, 1, 26121, 5224073, 345
TTZToLLNuNu_M-10, 2016, 1, 17649, 3454674, 352
TTZToLLNuNu_M-10, 2016, 1, 17966, 3516773, 320
TTZToLLNuNu_M-10, 2016, 1, 22341, 4373125, 338
TTZToLLNuNu_M-10, 2016, 1, 11170, 2186405, 327
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 53866, 155133633, 311
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 409125, 1047357529, 313
TTWJetsToLNu, 2016, 1, 1129, 349863, 783
TTWJetsToLNu, 2016, 1, 6580, 2039552, 309
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 43799, 112123566, 301
TTZToLLNuNu_M-10, 2016, 1, 21747, 4256907, 304
TTJets_DiLept_genMET-150, 2016, 1, 69476, 178205632, 373
TTZToLLNuNu_M-10, 2016, 1, 30458, 5962104, 326
TTWJetsToLNu, 2016, 1, 2713, 840825, 461
