# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTWJetsToLNu, 2018, 1, 7, 29405, 375
TTWJetsToLNu, 2018, 1, 18, 87099, 563
TTWJetsToLNu, 2018, 1, 483, 2342008, 311
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 1736, 2385962, 329
TTWJetsToQQ, 2018, 1, 49, 154301, 331
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 722000, 1013686693, 491
TTJets_DiLept_genMET-80, 2018, 1, 74307, 74826592, 370
TTGJets, 2018, 1, 4423, 7447173, 400
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 3878, 5331743, 343
TTWJetsToQQ, 2018, 1, 29, 90627, 313
TTJets_DiLept_genMET-80, 2018, 1, 164339, 165489300, 305
TTGJets, 2018, 1, 4983, 8389865, 316
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 47755, 65662771, 403
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 322646, 443637983, 366
TTWJetsToLNu, 2018, 1, 1070, 5190338, 364
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 272039, 381941630, 310
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 265261, 372425126, 464
TTWJetsToLNu, 2018, 1, 1153, 5595252, 332
TTWJetsToQQ, 2018, 1, 66, 206916, 311
TTGJets, 2018, 1, 4765, 8023424, 362
TTWJetsToQQ, 2018, 1, 312, 988281, 334
TTWJetsToLNu, 2018, 1, 1349, 6543626, 357
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 364222, 511367550, 378
TTWJetsToLNu, 2018, 1, 1386, 6726819, 328
TTWJetsToQQ, 2018, 1, 71, 221803, 314
TTWJetsToLNu, 2018, 1, 310, 1501944, 355
TTWJetsToLNu, 2018, 1, 625, 3030147, 474
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 449396, 630951024, 319
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 8943, 12555179, 316
TTZToLLNuNu_M-10, 2018, 1, 20, 116526, 354
TTWJetsToQQ, 2018, 1, 304, 962447, 526
TTZToLLNuNu_M-10, 2018, 1, 20, 119708, 410
TTZToLLNuNu_M-10, 2018, 1, 1960, 11754122, 305
TTZToLLNuNu_M-10, 2018, 1, 1960, 11754351, 317
TTWJetsToLNu, 2018, 1, 315, 1526754, 310
TTZToLLNuNu_M-10, 2018, 1, 1960, 11756974, 312
TTZToLLNuNu_M-10, 2018, 1, 1960, 11757295, 367
TTWJetsToLNu, 2018, 1, 1628, 7902251, 323
TTWJetsToLNu, 2018, 1, 1021, 4953004, 307
TTZToLLNuNu_M-10, 2018, 1, 1907, 11438353, 623
TTZToLLNuNu_M-10, 2018, 1, 1907, 11438881, 364
TTZToLLNuNu_M-10, 2018, 1, 1907, 11440543, 365
TTWJetsToLNu, 2018, 1, 544, 2636197, 442
TTWJetsToLNu, 2018, 1, 544, 2636558, 348
TTWJetsToLNu, 2018, 1, 105, 507715, 437
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 164490, 230943757, 330
TTWJetsToQQ, 2018, 1, 332, 1049841, 402
TTZToLLNuNu_M-10, 2018, 1, 873, 5235551, 359
TTWJetsToLNu, 2018, 1, 1200, 5822809, 330
TTZToLLNuNu_M-10, 2018, 1, 399, 2390656, 308
TTZToLLNuNu_M-10, 2018, 1, 399, 2391847, 482
TTZToLLNuNu_M-10, 2018, 1, 993, 5954548, 367
TTZToLLNuNu_M-10, 2018, 1, 993, 5955996, 382
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 164573, 231059301, 363
TTWJetsToLNu, 2018, 1, 1330, 6451493, 321
TTZToLLNuNu_M-10, 2018, 1, 993, 5956743, 333
TTWJetsToLNu, 2018, 1, 1330, 6453474, 314
TTWJetsToLNu, 2018, 1, 1586, 7697445, 428
TTZToLLNuNu_M-10, 2018, 1, 2290, 13736765, 383
TTZToLLNuNu_M-10, 2018, 1, 2290, 13738501, 316
TTZToLLNuNu_M-10, 2018, 1, 989, 5928015, 322
TTZToLLNuNu_M-10, 2018, 1, 989, 5928809, 609
TTGJets, 2018, 1, 3425, 5766901, 309
TTZToLLNuNu_M-10, 2018, 1, 989, 5930191, 308
TTWJetsToLNu, 2018, 1, 1509, 7322759, 381
TTWJetsToLNu, 2018, 1, 1509, 7323544, 337
TTZToLLNuNu_M-10, 2018, 1, 1897, 11379077, 377
TTZToLLNuNu_M-10, 2018, 1, 2124, 12738030, 333
TTZToLLNuNu_M-10, 2018, 1, 2124, 12739030, 315
TTZToLLNuNu_M-10, 2018, 1, 2124, 12740612, 357
TTZToLLNuNu_M-10, 2018, 1, 2124, 12742474, 405
TTWJetsToLNu, 2018, 1, 396, 1920583, 312
TTZToLLNuNu_M-10, 2018, 1, 1962, 11767112, 622
TTZToLLNuNu_M-10, 2018, 1, 1962, 11768630, 320
TTZToLLNuNu_M-10, 2018, 1, 2320, 13914980, 623
TTZToLLNuNu_M-10, 2018, 1, 2320, 13915265, 397
TTWJetsToLNu, 2018, 1, 671, 3255346, 303
TTZToLLNuNu_M-10, 2018, 1, 2320, 13917976, 312
TTZToLLNuNu_M-10, 2018, 1, 33, 194876, 400
TTWJetsToLNu, 2018, 1, 361, 1751110, 327
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 531188, 730383328, 326
TTWJetsToLNu, 2018, 1, 579, 2809080, 371
TTWJetsToLNu, 2018, 1, 542, 2629762, 323
TTZToLLNuNu_M-10, 2018, 1, 210, 1255092, 539
TTZToLLNuNu_M-10, 2018, 1, 210, 1259112, 302
TTGJets, 2018, 1, 893, 1503761, 330
TTZToLLNuNu_M-10, 2018, 1, 360, 2159677, 350
TTZToLLNuNu_M-10, 2018, 1, 704, 4223057, 331
TTZToLLNuNu_M-10, 2018, 1, 2102, 12606672, 372
TTGJets, 2018, 1, 2832, 4769050, 316
TTZToLLNuNu_M-10, 2018, 1, 2102, 12607838, 399
TTZToLLNuNu_M-10, 2018, 1, 2102, 12609058, 323
TTJets_SingleLeptFromT_genMET-80, 2018, 1, 164230, 230578110, 328
TTTT, 2018, 1, 2942, 1253085, 403
TTZToLLNuNu_M-10, 2018, 1, 2102, 12610289, 367
TTZToLLNuNu_M-10, 2018, 1, 2272, 13626633, 313
TTZToLLNuNu_M-10, 2018, 1, 2272, 13626754, 308
