# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
ttHTobb_M125, 2017, 1, 7671, 7422606, 320
ttHTobb_M125, 2017, 1, 7352, 7114189, 302
TTZToLLNuNu_M-10, 2017, 1, 2770, 2072933, 355
TTZToLLNuNu_M-10, 2017, 1, 2207, 1651114, 544
ttHTobb_M125, 2017, 1, 3388, 3277954, 336
TTWJetsToLNu, 2017, 1, 5965, 6726216, 314
ttHTobb_M125, 2017, 1, 3542, 3426746, 317
TTWJetsToLNu, 2017, 1, 919, 1035277, 349
TTZToQQ, 2017, 1, 3182, 3178159, 322
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 173748, 1142911149, 304
TTWJetsToLNu, 2017, 1, 4007, 4518499, 468
ttHTobb_M125, 2017, 1, 4147, 4012357, 327
TTZToLLNuNu_M-10, 2017, 1, 6020, 4504995, 332
TTZToLLNuNu_M-10, 2017, 1, 6373, 4769276, 409
ttHTobb_M125, 2017, 1, 7024, 6796498, 325
TTZToLLNuNu_M-10, 2017, 1, 7114, 5323811, 423
TTZToQQ, 2017, 1, 1541, 3304690, 489
TTZToLLNuNu_M-10, 2017, 1, 8729, 6532409, 324
TTZToLLNuNu_M-10, 2017, 1, 9265, 6932753, 304
TTZToLLNuNu_M-10, 2017, 1, 7090, 5305056, 362
TTZToLLNuNu_M-10, 2017, 1, 9707, 7264519, 333
TTWJetsToLNu, 2017, 1, 6683, 7535958, 448
ttHTobb_M125, 2017, 1, 4451, 4307070, 314
TTZToLLNuNu_M-10, 2017, 1, 10420, 7797437, 419
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 88909, 588932695, 385
TTZToLLNuNu_M-10, 2017, 1, 7152, 5351905, 303
TTZToLLNuNu_M-10, 2017, 1, 7039, 5267690, 312
ttHTobb_M125, 2017, 1, 4894, 4734888, 307
TTZToQQ, 2017, 1, 8017, 9255882, 336
TTZToLLNuNu_M-10, 2017, 1, 7414, 5547833, 334
ttHTobb_M125, 2017, 1, 5059, 4894947, 365
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 114895, 755775708, 306
TTZToLLNuNu_M-10, 2017, 1, 7927, 5931817, 450
TTZToQQ, 2017, 1, 8194, 9357837, 304
ttHTobb_M125, 2017, 1, 4967, 4806399, 330
ttHTobb_M125, 2017, 1, 5073, 4908873, 332
ttHTobb_M125, 2017, 1, 5075, 4910587, 309
ttHTobb_M125, 2017, 1, 5700, 5515250, 507
TTZToLLNuNu_M-10, 2017, 1, 10278, 7691258, 391
ttHTobb_M125, 2017, 1, 5361, 5186833, 352
TTZToLLNuNu_M-10, 2017, 1, 8228, 6157093, 404
TTZToLLNuNu_M-10, 2017, 1, 8405, 6290053, 406
ttHTobb_M125, 2017, 1, 5870, 5679973, 340
ttHTobb_M125, 2017, 1, 6063, 5866449, 339
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 18392, 120982544, 345
TTZToLLNuNu_M-10, 2017, 1, 1183, 885517, 309
TTZToQQ, 2017, 1, 3319, 3315450, 304
ttHTobb_M125, 2017, 1, 5463, 5285803, 358
TTZToLLNuNu_M-10, 2017, 1, 4990, 3734375, 306
TTZToLLNuNu_M-10, 2017, 1, 5041, 3772089, 310
TTZToLLNuNu_M-10, 2017, 1, 9667, 7233512, 305
ttHTobb_M125, 2017, 1, 7008, 6780538, 351
ZJetsToNuNu_HT-400To600, 2017, 1, 8971, 77329339, 405
TTZToLLNuNu_M-10, 2017, 1, 1393, 1042162, 538
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 157712, 1044682307, 322
ttHTobb_M125, 2017, 1, 1192, 1152508, 326
TTZToLLNuNu_M-10, 2017, 1, 2623, 1962554, 369
ttHTobb_M125, 2017, 1, 1242, 1201544, 304
ttHTobb_M125, 2017, 1, 1097, 1061331, 359
ZJetsToNuNu_HT-400To600, 2017, 1, 2646, 22800930, 377
TTZToLLNuNu_M-10, 2017, 1, 4105, 3071271, 348
TTZToLLNuNu_M-10, 2017, 1, 4742, 3549096, 365
TTJets_DiLept_genMET-150, 2017, 1, 32689, 196915932, 315
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 39254, 260013580, 305
ttHTobb_M125, 2017, 1, 1551, 1499981, 327
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 44317, 293554579, 360
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 31211, 206739046, 312
ttHTobb_M125, 2017, 1, 4604, 4454689, 303
