#mChi01 mG boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
625 1 0.0228929 0.0685339 0.0914268 0.0006403 0.0021291 0.0023245 0.0041480 0.0021279 0.0065250 0.0072383 0.0124605 0.0004035 0.0017831 0.0023533 0.0045645 0.0010083 0.0039080 0.0056469 0.0112726 0.0036558 0.0015423 0.0004152 0.0121863 0.0043978 0.0006953
650 1 0.0274028 0.0694321 0.0968349 0.0006811 0.0020810 0.0024482 0.0050640 0.0020161 0.0063387 0.0069825 0.0144420 0.0003419 0.0015105 0.0021043 0.0042645 0.0008470 0.0037415 0.0053102 0.0112587 0.0039492 0.0018403 0.0003801 0.0139963 0.0061011 0.0011358
675 1 0.0303027 0.0707256 0.1010283 0.0006093 0.0021218 0.0022607 0.0053801 0.0019858 0.0065640 0.0070642 0.0163809 0.0003395 0.0013398 0.0019757 0.0043549 0.0008767 0.0033021 0.0047268 0.0114430 0.0042110 0.0022926 0.0005665 0.0143985 0.0073468 0.0014873
700 1 0.0337604 0.0714369 0.1051973 0.0005792 0.0019499 0.0022278 0.0061933 0.0019640 0.0062334 0.0070396 0.0179088 0.0002752 0.0012520 0.0018662 0.0044025 0.0006412 0.0031611 0.0044771 0.0112655 0.0044249 0.0026988 0.0006617 0.0152224 0.0088891 0.0018635
725 1 0.0373191 0.0702339 0.1075530 0.0006144 0.0019166 0.0022298 0.0062442 0.0018758 0.0060636 0.0065709 0.0191572 0.0002725 0.0010588 0.0015881 0.0042669 0.0006653 0.0027636 0.0039381 0.0110079 0.0045992 0.0029361 0.0009117 0.0161171 0.0102327 0.0025224
750 1 0.0410231 0.0720089 0.1130320 0.0005634 0.0017867 0.0021306 0.0071976 0.0018430 0.0058074 0.0068696 0.0212292 0.0002521 0.0010616 0.0014006 0.0042643 0.0005542 0.0025665 0.0037373 0.0107448 0.0046575 0.0034586 0.0010763 0.0165986 0.0119659 0.0032663
775 1 0.0448855 0.0714379 0.1163234 0.0005338 0.0018885 0.0020811 0.0075708 0.0017268 0.0056427 0.0063893 0.0228248 0.0001934 0.0009472 0.0013053 0.0039751 0.0005189 0.0022524 0.0032913 0.0102965 0.0046585 0.0038333 0.0015185 0.0173854 0.0130370 0.0044528
800 1 0.0494752 0.0709571 0.1204323 0.0004777 0.0017010 0.0020996 0.0075547 0.0016589 0.0053996 0.0063953 0.0238515 0.0001821 0.0009005 0.0012826 0.0039783 0.0004804 0.0020540 0.0029557 0.0099852 0.0051231 0.0042214 0.0018027 0.0178953 0.0145750 0.0058577
825 1 0.0543717 0.0697733 0.1241449 0.0004809 0.0016327 0.0021291 0.0080551 0.0015433 0.0052313 0.0060634 0.0245247 0.0001621 0.0007665 0.0011378 0.0035819 0.0003832 0.0019520 0.0026682 0.0094610 0.0048995 0.0044423 0.0023680 0.0188754 0.0161579 0.0076287
850 1 0.0585531 0.0692693 0.1278225 0.0004771 0.0015643 0.0018868 0.0083901 0.0014637 0.0049918 0.0056541 0.0257473 0.0001471 0.0006661 0.0010695 0.0035416 0.0003737 0.0018838 0.0026420 0.0087702 0.0052808 0.0044649 0.0028219 0.0193032 0.0170428 0.0096395
875 1 0.0632472 0.0677044 0.1309516 0.0004977 0.0015098 0.0018433 0.0084694 0.0014694 0.0048816 0.0055964 0.0257340 0.0001417 0.0005930 0.0009996 0.0031793 0.0003624 0.0015840 0.0023213 0.0085214 0.0051313 0.0048788 0.0035338 0.0199417 0.0180867 0.0116749
900 1 0.0667574 0.0669655 0.1337229 0.0004633 0.0014755 0.0016651 0.0089969 0.0013577 0.0046478 0.0054633 0.0266969 0.0001431 0.0006469 0.0007781 0.0030861 0.0003049 0.0014972 0.0019644 0.0077784 0.0053173 0.0049281 0.0040855 0.0197482 0.0187247 0.0139537
925 1 0.0716039 0.0646409 0.1362448 0.0004167 0.0013746 0.0016794 0.0086092 0.0012715 0.0044210 0.0050960 0.0267036 0.0001404 0.0004655 0.0007523 0.0029342 0.0002573 0.0012932 0.0019283 0.0072978 0.0052681 0.0052059 0.0048920 0.0206066 0.0191354 0.0164958
950 1 0.0759893 0.0650803 0.1410696 0.0004263 0.0014536 0.0016736 0.0090330 0.0013250 0.0041568 0.0051320 0.0275276 0.0000968 0.0004161 0.0006851 0.0029751 0.0002528 0.0010743 0.0018117 0.0070406 0.0051480 0.0050427 0.0052744 0.0208918 0.0203621 0.0192703
975 1 0.0796394 0.0622742 0.1419136 0.0003514 0.0012074 0.0015430 0.0086843 0.0012174 0.0040450 0.0046954 0.0271916 0.0001044 0.0003803 0.0006445 0.0027828 0.0002260 0.0010998 0.0015349 0.0065660 0.0051542 0.0054947 0.0059970 0.0209268 0.0207099 0.0213568
1000 1 0.0844411 0.0610344 0.1454755 0.0003053 0.0012450 0.0014344 0.0092936 0.0010983 0.0038042 0.0046240 0.0270545 0.0000735 0.0004452 0.0006557 0.0025055 0.0002279 0.0009632 0.0012995 0.0060046 0.0052070 0.0054178 0.0067511 0.0206239 0.0215623 0.0248791
1050 1 0.0920859 0.0581002 0.1501861 0.0003457 0.0011555 0.0013707 0.0089118 0.0010643 0.0035093 0.0043345 0.0270794 0.0000784 0.0003305 0.0005233 0.0021515 0.0001485 0.0007549 0.0011471 0.0051947 0.0051672 0.0055346 0.0080829 0.0207686 0.0219589 0.0305738
1100 1 0.1004889 0.0533630 0.1538519 0.0002945 0.0010331 0.0011835 0.0086663 0.0009328 0.0030303 0.0036584 0.0258511 0.0000592 0.0002498 0.0004059 0.0018039 0.0001334 0.0006480 0.0010105 0.0044023 0.0049901 0.0055494 0.0094528 0.0209232 0.0223974 0.0371759
1150 1 0.1076996 0.0512774 0.1589770 0.0002405 0.0009159 0.0011257 0.0081796 0.0008728 0.0028965 0.0036375 0.0253918 0.0000706 0.0002244 0.0003420 0.0016370 0.0001362 0.0005633 0.0009338 0.0041100 0.0050937 0.0055288 0.0106490 0.0210592 0.0224706 0.0428984
1200 1 0.1158508 0.0468296 0.1626803 0.0002479 0.0007943 0.0009150 0.0079105 0.0006893 0.0025482 0.0031153 0.0238443 0.0000401 0.0001869 0.0003082 0.0013204 0.0001099 0.0004335 0.0007304 0.0036356 0.0050336 0.0057013 0.0118694 0.0211395 0.0225756 0.0495313
