#mNLSP mLSP boostEff resEff totalEff   bin1Eff   bin2Eff   bin3Eff   bin4Eff   bin5Eff   bin6Eff   bin7Eff   bin8Eff   bin9Eff  bin10Eff  bin11Eff  bin12Eff  bin13Eff  bin14Eff  bin15Eff  bin16Eff  bin17Eff  bin18Eff  bin19Eff  bin20Eff  bin21Eff  bin22Eff
300 175 0.0000325 0.0003626 0.0003951 0.0000026 0.0000000 0.0000000 0.0000031 0.0000460 0.0000343 0.0000091 0.0000058 0.0000419 0.0000254 0.0000000 0.0000000 0.0001317 0.0000541 0.0000086 0.0000000 0.0000174 0.0000046 0.0000000 0.0000072 0.0000034 0.0000000
300 50 0.0003268 0.0162270 0.0165538 0.0004599 0.0005577 0.0000879 0.0000088 0.0012988 0.0016801 0.0002125 0.0000385 0.0014396 0.0019570 0.0002985 0.0000598 0.0028819 0.0042453 0.0008101 0.0001908 0.0001120 0.0000188 0.0000000 0.0001897 0.0000063 0.0000000
325 150 0.0000851 0.0060113 0.0060963 0.0001615 0.0001006 0.0000145 0.0000000 0.0004657 0.0003291 0.0000366 0.0000148 0.0008552 0.0006070 0.0000813 0.0000093 0.0018155 0.0013090 0.0001850 0.0000262 0.0000398 0.0000111 0.0000047 0.0000294 0.0000000 0.0000000
325 175 0.0000602 0.0022446 0.0023048 0.0000471 0.0000404 0.0000000 0.0000000 0.0002086 0.0001644 0.0000461 0.0000102 0.0003672 0.0001748 0.0000199 0.0000043 0.0007176 0.0003951 0.0000419 0.0000071 0.0000238 0.0000026 0.0000072 0.0000266 0.0000000 0.0000000
325 200 0.0000477 0.0005461 0.0005939 0.0000079 0.0000101 0.0000055 0.0000000 0.0000371 0.0000496 0.0000066 0.0000066 0.0000684 0.0000470 0.0000000 0.0000000 0.0001411 0.0001430 0.0000203 0.0000028 0.0000324 0.0000000 0.0000000 0.0000090 0.0000032 0.0000032
350 100 0.0005694 0.0212026 0.0217720 0.0004749 0.0008482 0.0001343 0.0000341 0.0016465 0.0025414 0.0004620 0.0000909 0.0012726 0.0027998 0.0006243 0.0001051 0.0027569 0.0058414 0.0011692 0.0004011 0.0001935 0.0000142 0.0000087 0.0003409 0.0000087 0.0000034
350 150 0.0002154 0.0123982 0.0126136 0.0003762 0.0003512 0.0000336 0.0000037 0.0010581 0.0010504 0.0001549 0.0000233 0.0012706 0.0013586 0.0001681 0.0000271 0.0028168 0.0029827 0.0005947 0.0001281 0.0001024 0.0000101 0.0000000 0.0001000 0.0000028 0.0000000
350 175 0.0001108 0.0072055 0.0073163 0.0002258 0.0001491 0.0000236 0.0000000 0.0006962 0.0004866 0.0000666 0.0000147 0.0009317 0.0008248 0.0001105 0.0000103 0.0019589 0.0014121 0.0002714 0.0000232 0.0000408 0.0000158 0.0000000 0.0000542 0.0000000 0.0000000
350 200 0.0000693 0.0023293 0.0023986 0.0000589 0.0000246 0.0000084 0.0000000 0.0001666 0.0001427 0.0000358 0.0000168 0.0004206 0.0002287 0.0000240 0.0000044 0.0007590 0.0003776 0.0000484 0.0000128 0.0000434 0.0000095 0.0000000 0.0000164 0.0000000 0.0000000
350 225 0.0000651 0.0005438 0.0006089 0.0000241 0.0000041 0.0000000 0.0000000 0.0000333 0.0000298 0.0000000 0.0000098 0.0000851 0.0000470 0.0000061 0.0000045 0.0001326 0.0001329 0.0000203 0.0000142 0.0000519 0.0000000 0.0000000 0.0000132 0.0000000 0.0000000
350 50 0.0011353 0.0270836 0.0282188 0.0006394 0.0010780 0.0002800 0.0000615 0.0018213 0.0034717 0.0007170 0.0000894 0.0012755 0.0033551 0.0009502 0.0002093 0.0029334 0.0076760 0.0020692 0.0004566 0.0003168 0.0000312 0.0000000 0.0007482 0.0000336 0.0000054
375 200 0.0001414 0.0082820 0.0084233 0.0002134 0.0002116 0.0000350 0.0000041 0.0006862 0.0004888 0.0000812 0.0000298 0.0011006 0.0008971 0.0000850 0.0000158 0.0021579 0.0018926 0.0003270 0.0000561 0.0000647 0.0000052 0.0000000 0.0000715 0.0000000 0.0000000
375 225 0.0000836 0.0030181 0.0031017 0.0000735 0.0000386 0.0000149 0.0000029 0.0002710 0.0001746 0.0000122 0.0000027 0.0004189 0.0003052 0.0000304 0.0000066 0.0009133 0.0006831 0.0000594 0.0000109 0.0000614 0.0000077 0.0000000 0.0000144 0.0000000 0.0000000
375 250 0.0000362 0.0005563 0.0005925 0.0000155 0.0000108 0.0000029 0.0000000 0.0000387 0.0000362 0.0000083 0.0000211 0.0000620 0.0000698 0.0000170 0.0000066 0.0001162 0.0001082 0.0000302 0.0000128 0.0000098 0.0000106 0.0000081 0.0000077 0.0000000 0.0000000
400 100 0.0019141 0.0349348 0.0368488 0.0007304 0.0016004 0.0005385 0.0000840 0.0020612 0.0046545 0.0015609 0.0002486 0.0011533 0.0037815 0.0018963 0.0004401 0.0026995 0.0086704 0.0039762 0.0008393 0.0004882 0.0000894 0.0000106 0.0012235 0.0000960 0.0000063
400 150 0.0009151 0.0265653 0.0274804 0.0006010 0.0010752 0.0003090 0.0000659 0.0017782 0.0031353 0.0006874 0.0001320 0.0013720 0.0033704 0.0009819 0.0001634 0.0029365 0.0075423 0.0020194 0.0003956 0.0002797 0.0000420 0.0000082 0.0005515 0.0000337 0.0000000
400 200 0.0002344 0.0146324 0.0148669 0.0004194 0.0003694 0.0000825 0.0000000 0.0012262 0.0011994 0.0001475 0.0000598 0.0012421 0.0020774 0.0003583 0.0000562 0.0029268 0.0037118 0.0006020 0.0001535 0.0001066 0.0000151 0.0000034 0.0001066 0.0000027 0.0000000
400 225 0.0001860 0.0081874 0.0083734 0.0002260 0.0002149 0.0000310 0.0000014 0.0006494 0.0004122 0.0000584 0.0000267 0.0010486 0.0008814 0.0001283 0.0000165 0.0023816 0.0017732 0.0002992 0.0000386 0.0000893 0.0000180 0.0000021 0.0000745 0.0000022 0.0000000
