# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
ttHTobb_M125, 2016, 1, 14037, 2807259, 325
ttHTobb_M125, 2016, 1, 14088, 2817465, 403
ttHTobb_M125, 2016, 1, 15572, 3114365, 484
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 475955, 1218443705, 345
ttHTobb_M125, 2016, 1, 35490, 7097860, 342
ttHTobb_M125, 2016, 1, 32850, 6569876, 324
TTZToLLNuNu_M-10, 2016, 1, 2644, 517537, 308
TTWJetsToLNu, 2016, 1, 8599, 1887514, 382
ttHTobb_M125, 2016, 1, 46079, 9215791, 302
TTWJetsToLNu, 2016, 1, 79, 17127, 329
TTWJetsToLNu, 2016, 1, 1035, 226967, 404
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 464028, 1187909637, 308
TTZToLLNuNu_M-10, 2016, 1, 1223, 239276, 314
TTZToLLNuNu_M-10, 2016, 1, 5451, 1066918, 318
ttHTobb_M125, 2016, 1, 22790, 4557843, 324
ttHTobb_M125, 2016, 1, 23002, 4600213, 411
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 21542, 62038582, 305
TTZToLLNuNu_M-10, 2016, 1, 20870, 4085119, 321
TTZToLLNuNu_M-10, 2016, 1, 26355, 5158911, 313
ttHTobb_M125, 2016, 1, 28405, 5680966, 366
TTZToLLNuNu_M-10, 2016, 1, 20103, 3935122, 337
TTZToLLNuNu_M-10, 2016, 1, 29259, 5727334, 395
ttHTobb_M125, 2016, 1, 28779, 5755761, 337
TTWJetsToLNu, 2016, 1, 16385, 3596542, 314
TTZToLLNuNu_M-10, 2016, 1, 7627, 1492978, 394
TTZToLLNuNu_M-10, 2016, 1, 20199, 3953926, 334
ZJetsToNuNu_HT-800To1200, 2016, 1, 8349, 15636367, 440
TTGJets, 2016, 1, 126697, 6841618, 341
ttHTobb_M125, 2016, 1, 43225, 8644846, 371
ttHTobb_M125, 2016, 1, 43565, 8712956, 347
TTZToLLNuNu_M-10, 2016, 1, 1746, 341716, 488
TTZToLLNuNu_M-10, 2016, 1, 20313, 3976232, 316
TTZToLLNuNu_M-10, 2016, 1, 13039, 2552269, 470
ttHTobb_M125, 2016, 1, 32716, 6543099, 354
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 530029, 1356873098, 324
TTZToLLNuNu_M-10, 2016, 1, 10722, 2098668, 318
ttHTobb_M125, 2016, 1, 15820, 3163871, 468
TTZToLLNuNu_M-10, 2016, 1, 25323, 4956865, 315
ttHTobb_M125, 2016, 1, 31579, 6315681, 314
TTZToLLNuNu_M-10, 2016, 1, 23569, 4613587, 309
ttHTobb_M125, 2016, 1, 44598, 8919541, 309
ttHTobb_M125, 2016, 1, 17311, 3462175, 386
TTZToLLNuNu_M-10, 2016, 1, 17596, 3444382, 386
ttHTobb_M125, 2016, 1, 47431, 9486108, 369
TTJets_DiLept_genMET-150, 2016, 1, 52350, 134275892, 316
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 449755, 1151372021, 324
TTZToLLNuNu_M-10, 2016, 1, 10599, 2074717, 415
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 407151, 1042305817, 315
ttHTobb_M125, 2016, 1, 31124, 6224603, 343
ZJetsToNuNu_HT-400To600, 2016, 1, 36123, 73111217, 385
TTZToLLNuNu_M-10, 2016, 1, 16960, 3319829, 324
TTZToLLNuNu_M-10, 2016, 1, 19333, 3784301, 331
ttHTobb_M125, 2016, 1, 42102, 8420208, 326
ttHTobb_M125, 2016, 1, 1467, 293316, 313
ttHTobb_M125, 2016, 1, 11229, 2245772, 325
TTZToLLNuNu_M-10, 2016, 1, 28415, 5562142, 712
TTGJets, 2016, 1, 252596, 13640134, 449
ttHTobb_M125, 2016, 1, 17850, 3569818, 304
ttHTobb_M125, 2016, 1, 17747, 3549356, 361
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 348916, 893223676, 460
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 186155, 536123671, 400
ZJetsToNuNu_HT-400To600, 2016, 1, 37934, 76776939, 305
ttHTobb_M125, 2016, 1, 16885, 3376953, 309
ttHTobb_M125, 2016, 1, 17410, 3481827, 302
ttHTobb_M125, 2016, 1, 43392, 8678256, 324
TTZToLLNuNu_M-10, 2016, 1, 4016, 758901, 309
TTZToLLNuNu_M-10, 2016, 1, 181, 34029, 376
ZJetsToNuNu_HT-800To1200, 2016, 1, 5070, 9495252, 430
ttHTobb_M125, 2016, 1, 2101, 420167, 304
TTGJets, 2016, 1, 317358, 17137328, 316
ttHTobb_M125, 2016, 1, 25886, 5177058, 307
ttHTobb_M125, 2016, 1, 11334, 2266640, 382
ttHTobb_M125, 2016, 1, 25853, 5170503, 358
ttHTobb_M125, 2016, 1, 25454, 5090757, 302
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 115506, 332655008, 319
ttHTobb_M125, 2016, 1, 15261, 3052029, 384
ttHTobb_M125, 2016, 1, 41885, 8376898, 449
ttHTobb_M125, 2016, 1, 15444, 3088793, 327
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 392340, 1004390083, 331
ttHTobb_M125, 2016, 1, 5090, 1017908, 332
ttHTobb_M125, 2016, 1, 6696, 1339187, 381
TTZToLLNuNu_M-10, 2016, 1, 7193, 1359372, 552
ttHTobb_M125, 2016, 1, 19734, 3946690, 302
ttHTobb_M125, 2016, 1, 11033, 2206534, 368
TTZToLLNuNu_M-10, 2016, 1, 10202, 1928090, 456
ttHTobb_M125, 2016, 1, 8742, 1748244, 302
TTZToLLNuNu_M-10, 2016, 1, 10349, 1955850, 345
TTZToLLNuNu_M-10, 2016, 1, 1487, 280972, 628
ZJetsToNuNu_HT-400To600, 2016, 1, 43908, 88869392, 476
ttHTobb_M125, 2016, 1, 35350, 7069874, 338
TTZToLLNuNu_M-10, 2016, 1, 3617, 683440, 312
ttHTobb_M125, 2016, 1, 35415, 7082988, 358
TTZToLLNuNu_M-10, 2016, 1, 6574, 1242343, 350
ttHTobb_M125, 2016, 1, 5334, 1066634, 320
ttHTobb_M125, 2016, 1, 39414, 7882752, 323
ttHTobb_M125, 2016, 1, 39768, 7953479, 341
TTZToLLNuNu_M-10, 2016, 1, 8976, 1696304, 341
TTZToLLNuNu_M-10, 2016, 1, 9309, 1759344, 302
ttHTobb_M125, 2016, 1, 17687, 3537209, 448
ZJetsToNuNu_HT-400To600, 2016, 1, 58655, 118716486, 390
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 457897, 1318741506, 395
TTZToLLNuNu_M-10, 2016, 1, 19856, 3886707, 328
TTZToLLNuNu_M-10, 2016, 1, 9493, 1858230, 440
TTZToLLNuNu_M-10, 2016, 1, 15969, 3125899, 391
TTZToLLNuNu_M-10, 2016, 1, 12349, 2417242, 379
ttHTobb_M125, 2016, 1, 19685, 3936970, 324
TTZToLLNuNu_M-10, 2016, 1, 30057, 5883558, 361
ttHTobb_M125, 2016, 1, 32487, 6497309, 352
ttHTobb_M125, 2016, 1, 45351, 9070071, 319
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 27373, 78834085, 332
ZJetsToNuNu_HT-800To1200, 2016, 1, 6448, 12075841, 471
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 445424, 1140284770, 302
TTZToLLNuNu_M-10, 2016, 1, 15561, 3046064, 437
ttHTobb_M125, 2016, 1, 47145, 9428959, 494
ttHTobb_M125, 2016, 1, 28120, 5623851, 413
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 142089, 363746974, 313
TTJets_DiLept_genMET-150, 2016, 1, 220125, 564620056, 400
TTJets_DiLept_genMET-150, 2016, 1, 133446, 342287337, 348
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 197315, 505125566, 307
TTZToLLNuNu_M-10, 2016, 1, 22548, 4413660, 339
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 505763, 1294752389, 358
TTZToLLNuNu_M-10, 2016, 1, 22667, 4437049, 517
TTZToLLNuNu_M-10, 2016, 1, 28963, 5669455, 544
ttHTobb_M125, 2016, 1, 2662, 532321, 321
TTZToLLNuNu_M-10, 2016, 1, 19738, 3863592, 340
TTZToLLNuNu_M-10, 2016, 1, 30063, 5884804, 532
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 36593, 105387111, 303
ttHTobb_M125, 2016, 1, 772, 154261, 340
ttHTobb_M125, 2016, 1, 26905, 5380990, 447
TTZToLLNuNu_M-10, 2016, 1, 29374, 5749967, 392
TTZToLLNuNu_M-10, 2016, 1, 19943, 3903660, 356
ZJetsToNuNu_HT-600To800, 2016, 1, 8268, 13779997, 538
ttHTobb_M125, 2016, 1, 31258, 6251545, 492
ttHTobb_M125, 2016, 1, 29580, 5915943, 305
ZJetsToNuNu_HT-400To600, 2016, 1, 20945, 42391768, 330
TTZToLLNuNu_M-10, 2016, 1, 27487, 5380435, 467
TTZToLLNuNu_M-10, 2016, 1, 21938, 4294334, 306
TTZToLLNuNu_M-10, 2016, 1, 20191, 3952203, 311
TTZToLLNuNu_M-10, 2016, 1, 25179, 4928768, 583
TTZToLLNuNu_M-10, 2016, 1, 24396, 4775451, 425
ZJetsToNuNu_HT-400To600, 2016, 1, 24134, 48846494, 438
TTZToLLNuNu_M-10, 2016, 1, 24909, 4875808, 473
TTJets_DiLept_genMET-150, 2016, 1, 99794, 255969911, 318
ZJetsToNuNu_HT-800To1200, 2016, 1, 4418, 8274073, 337
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 357515, 915237702, 447
TTZToLLNuNu_M-10, 2016, 1, 9729, 1683072, 307
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 389777, 1122555478, 365
ZJetsToNuNu_HT-600To800, 2016, 1, 18747, 31244939, 613
TTZToLLNuNu_M-10, 2016, 1, 9358, 1618871, 385
TTZToLLNuNu_M-10, 2016, 1, 13826, 2391867, 315
TTJets_DiLept_genMET-150, 2016, 1, 68919, 176775830, 309
TTZToLLNuNu_M-10, 2016, 1, 9750, 1686739, 303
TTZToLLNuNu_M-10, 2016, 1, 34202, 5916867, 309
TTZToLLNuNu_M-10, 2016, 1, 17792, 3077972, 344
TTZToLLNuNu_M-10, 2016, 1, 20250, 3503233, 334
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 43725, 125926916, 371
TTJets_SingleLeptFromT_genMET-150, 2016, 1, 23072, 66446166, 339
TTZToLLNuNu_M-10, 2016, 1, 10859, 1878494, 680
TTZToLLNuNu_M-10, 2016, 1, 14333, 2479512, 346
TTZToLLNuNu_M-10, 2016, 1, 9392, 1624803, 475
TTZToLLNuNu_M-10, 2016, 1, 15312, 2648934, 502
TTZToLLNuNu_M-10, 2016, 1, 33092, 5724885, 486
TTJets_SingleLeptFromTbar_genMET-150, 2016, 1, 432311, 1106714223, 327
TTJets_DiLept_genMET-150, 2016, 1, 213693, 548120497, 323
TTZToLLNuNu_M-10, 2016, 1, 24835, 4296457, 362
ZJetsToNuNu_HT-600To800, 2016, 1, 21380, 35632977, 461
TTZToLLNuNu_M-10, 2016, 1, 22993, 3977630, 339
