# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTWJetsToLNu, 2018, 1, 18, 87148, 362
TTWJetsToLNu, 2018, 1, 137, 662785, 312
TTZToLLNuNu_M-10, 2018, 1, 1960, 11754951, 301
TTZToLLNuNu_M-10, 2018, 1, 1907, 11438702, 305
TTZToLLNuNu_M-10, 2018, 1, 580, 3474721, 444
TTZToLLNuNu_M-10, 2018, 1, 989, 5929713, 377
TTZToLLNuNu_M-10, 2018, 1, 33, 193073, 346
TTZToLLNuNu_M-10, 2018, 1, 33, 197111, 322
TTZToLLNuNu_M-10, 2018, 1, 360, 2156632, 342
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 18242, 25082082, 335
TTZToLLNuNu_M-10, 2018, 1, 701, 4203084, 640
TTZToLLNuNu_M-10, 2018, 1, 394, 2361172, 319
TTZToLLNuNu_M-10, 2018, 1, 450, 2699071, 362
TTZToLLNuNu_M-10, 2018, 1, 396, 2370784, 404
ttHTobb_M125, 2018, 1, 3039, 6076704, 476
TTZToLLNuNu_M-10, 2018, 1, 39, 233702, 306
TTZToLLNuNu_M-10, 2018, 1, 49, 291505, 349
ttHTobb_M125, 2018, 1, 748, 1495978, 307
TTGJets, 2018, 1, 4141, 6972238, 309
TTWJetsToLNu, 2018, 1, 1662, 8067325, 309
ttHTobb_M125, 2018, 1, 3401, 6800524, 352
TTZToLLNuNu_M-10, 2018, 1, 2159, 12953436, 456
TTWJetsToLNu, 2018, 1, 1459, 7081707, 323
TTZToQQ, 2018, 1, 1410, 2414700, 478
TTZToLLNuNu_M-10, 2018, 1, 167, 1000707, 421
TTZToLLNuNu_M-10, 2018, 1, 628, 3763235, 545
ttHTobb_M125, 2018, 1, 2504, 5007369, 387
ttHTobb_M125, 2018, 1, 3554, 7106244, 324
TTZToLLNuNu_M-10, 2018, 1, 695, 4164361, 322
TTZToQQ, 2018, 1, 8143, 8121461, 305
TTZToLLNuNu_M-10, 2018, 1, 965, 5784619, 324
ttHTobb_M125, 2018, 1, 1132, 2263345, 407
TTWJetsToLNu, 2018, 1, 374, 1813115, 302
ttHTobb_M125, 2018, 1, 2427, 4852849, 345
TTZToLLNuNu_M-10, 2018, 1, 928, 5562737, 420
ttHTobb_M125, 2018, 1, 2845, 5688998, 300
ttHTobb_M125, 2018, 1, 1753, 3504764, 325
TTZToQQ, 2018, 1, 123, 1127101, 335
TTZToLLNuNu_M-10, 2018, 1, 1867, 11201299, 357
TTZToQQ, 2018, 1, 1609, 2613308, 351
TTZToLLNuNu_M-10, 2018, 1, 2141, 12845609, 355
TTZToLLNuNu_M-10, 2018, 1, 899, 5388241, 332
TTJets_SingleLeptFromTbar_genMET-80, 2018, 1, 36697, 50457495, 332
