# SampleName, Year, RunNumber, LumiBlockNumber, EventNumber, MET
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 26004, 171051152, 405
ttHTobb_M125, 2017, 1, 2857, 2764585, 344
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 19219, 127300583, 306
TTWJetsToLNu, 2017, 1, 2644, 2980698, 385
TTZToLLNuNu_M-10, 2017, 1, 388, 289667, 383
TTWJetsToLNu, 2017, 1, 2775, 3129224, 330
TTZToLLNuNu_M-10, 2017, 1, 320, 239133, 357
TTZToLLNuNu_M-10, 2017, 1, 320, 239801, 373
TTJets_DiLept_genMET-150, 2017, 1, 25641, 154458577, 319
TTZToLLNuNu_M-10, 2017, 1, 301, 225032, 350
TTGJets, 2017, 1, 311, 526063, 463
TTZToLLNuNu_M-10, 2017, 1, 304, 227611, 559
TTZToLLNuNu_M-10, 2017, 1, 305, 228441, 413
TTZToLLNuNu_M-10, 2017, 1, 307, 229268, 306
TTWJetsToLNu, 2017, 1, 713, 804930, 313
ttHTobb_M125, 2017, 1, 3652, 3533537, 333
TTZToLLNuNu_M-10, 2017, 1, 335, 250329, 327
TTZToLLNuNu_M-10, 2017, 1, 335, 250330, 330
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 16468, 109083645, 310
TTJets_DiLept_genMET-150, 2017, 1, 35871, 216085861, 306
TTZToLLNuNu_M-10, 2017, 1, 436, 325880, 493
TTZToLLNuNu_M-10, 2017, 1, 478, 357273, 550
TTWJetsToLNu, 2017, 1, 2605, 2937180, 317
TTJets_DiLept_genMET-150, 2017, 1, 45888, 276423709, 301
TTZToLLNuNu_M-10, 2017, 1, 472, 353417, 406
TTZToLLNuNu_M-10, 2017, 1, 472, 353418, 303
TTGJets, 2017, 1, 7217, 12210371, 452
TTWJetsToLNu, 2017, 1, 202, 227744, 306
TTZToLLNuNu_M-10, 2017, 1, 3011, 2253402, 414
TTWJetsToQQ, 2017, 1, 532, 707932, 423
TTZToLLNuNu_M-10, 2017, 1, 970, 725667, 314
TTZToLLNuNu_M-10, 2017, 1, 970, 726054, 423
TTZToLLNuNu_M-10, 2017, 1, 1027, 768005, 307
TTJets_DiLept_genMET-150, 2017, 1, 23657, 142509633, 508
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 4078, 26822262, 338
ttHTobb_M125, 2017, 1, 2422, 2343619, 314
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 2964, 19630100, 346
TTJets_DiLept_genMET-150, 2017, 1, 46818, 282028135, 351
TTZToLLNuNu_M-10, 2017, 1, 1313, 982674, 342
TTZToLLNuNu_M-10, 2017, 1, 1314, 983299, 339
TTGJets, 2017, 1, 6032, 10206070, 342
ttHTobb_M125, 2017, 1, 2484, 2403056, 356
TTZToLLNuNu_M-10, 2017, 1, 994, 744030, 494
TTZToLLNuNu_M-10, 2017, 1, 1117, 835244, 346
TTZToLLNuNu_M-10, 2017, 1, 1118, 836742, 398
TTZToLLNuNu_M-10, 2017, 1, 1123, 839918, 387
TTZToLLNuNu_M-10, 2017, 1, 1125, 841835, 398
TTZToLLNuNu_M-10, 2017, 1, 5872, 4394233, 344
TTZToLLNuNu_M-10, 2017, 1, 1256, 939487, 374
TTJets_SingleLeptFromTbar_genMET-150, 2017, 1, 18958, 125576304, 354
TTZToLLNuNu_M-10, 2017, 1, 1504, 1124870, 340
TTZToLLNuNu_M-10, 2017, 1, 1177, 880318, 365
TTZToLLNuNu_M-10, 2017, 1, 1177, 880562, 335
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 112366, 739143440, 380
TTZToLLNuNu_M-10, 2017, 1, 1178, 881235, 328
TTZToLLNuNu_M-10, 2017, 1, 1195, 894063, 330
TTZToLLNuNu_M-10, 2017, 1, 1225, 915974, 335
TTZToLLNuNu_M-10, 2017, 1, 1226, 917411, 380
TTZToLLNuNu_M-10, 2017, 1, 5283, 3953410, 306
TTZToLLNuNu_M-10, 2017, 1, 1392, 1041550, 337
TTZToLLNuNu_M-10, 2017, 1, 6671, 4991934, 840
ttHTobb_M125, 2017, 1, 2534, 2452053, 364
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 106117, 698033459, 410
TTZToLLNuNu_M-10, 2017, 1, 1783, 1333983, 354
TTZToLLNuNu_M-10, 2017, 1, 1853, 1386248, 354
TTWJetsToLNu, 2017, 1, 256, 288270, 346
TTZToLLNuNu_M-10, 2017, 1, 1853, 1386423, 441
ttHTobb_M125, 2017, 1, 2885, 2790977, 481
TTJets_SingleLeptFromT_genMET-150, 2017, 1, 117041, 769893457, 326
TTZToQQ, 2017, 1, 1494, 3257770, 339
TTJets_DiLept_genMET-150, 2017, 1, 35665, 214842247, 318
TTZToLLNuNu_M-10, 2017, 1, 1889, 1413816, 315
TTZToLLNuNu_M-10, 2017, 1, 1892, 1416097, 384
TTZToLLNuNu_M-10, 2017, 1, 5386, 4030081, 328
TTZToLLNuNu_M-10, 2017, 1, 5398, 4038851, 430
TTZToLLNuNu_M-10, 2017, 1, 5399, 4040667, 322
TTZToLLNuNu_M-10, 2017, 1, 5400, 4040953, 343
TTWJetsToLNu, 2017, 1, 841, 947846, 364
TTWJetsToQQ, 2017, 1, 738, 982461, 400
TTWJetsToLNu, 2017, 1, 892, 1006310, 509
TTZToLLNuNu_M-10, 2017, 1, 5381, 4026734, 303
